url, count
https://cdn.britannica.com/34/235834-050-C5843610/two-different-breeds-of-cats-side-by-side-outdoors-in-the-garden.jpg,2
https://media.hswstatic.com/eyJidWNrZXQiOiJjb250ZW50Lmhzd3N0YXRpYy5jb20iLCJrZXkiOiJnaWZcL3NodXR0ZXJzdG9jay0yMjc4Nzc2MTg3LWhlcm8uanBnIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjo4Mjh9fX0=,3
https://lifelineanimal.org/wp-content/uploads/2021/03/foster-cats-header-768x291.jpg,4
https://tenlives.com.au/wp-content/uploads/2020/09/Problem-Too-Many-Cats-scaled.jpg,7
https://i.pinimg.com/736x/e9/42/95/e942955ad1aece063757a0ada950c670.jpg,6
https://media.istockphoto.com/id/108221652/photo/kittens-isolated-on-white.jpg?s=612x612&w=0&k=20&c=8zPDQcRMVF_Hw4ZF-MUWGjWM3CbqCUABsXemho0UFhc=,4
https://www.vets4pets.com/siteassets/species/cat/two-cats-on-wall-in-sun.jpg,2
https://modkat.com/cdn/shop/articles/breeds_1600x.jpg?v=1720608712,24
https://www.shutterstock.com/image-photo/two-little-cute-kittens-sleep-260nw-2321512109.jpg,3
https://www.freep.com/gcdn/-mm-/852e3b2f2ebcfcaec762a0fab0fea4f937c15c39/c=0-402-1975-1518/local/-/media/2015/10/28/DetroitFreePress/DetroitFreePress/635816587952954916-ThinkstockPhotos-83454804.jpg?width=660&height=373&fit=crop&format=pjpg&auto=webp,5
https://media.istockphoto.com/id/183822289/photo/puppy-cats.jpg?s=612x612&w=0&k=20&c=Phqh7ZukjOCM8fZUyCcZGznmIw1UlUIiiczcqGgieHA=,5
